,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_title_clean,outsourced,employee_residence_gdp,company_location_gdp,employee_latitude,employee_longitude,company_latitude,company_longitude
17,2024,MI,FT,Robotics Engineer,70000,US,0,US,M,Robotics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
18,2024,SE,FT,Robotics Engineer,165000,US,0,US,M,Robotics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
19,2024,SE,FT,Robotics Engineer,150000,US,0,US,M,Robotics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
20,2024,SE,FT,Data Engineer,179000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
21,2024,SE,FT,Data Engineer,112000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
22,2024,SE,FT,Data Manager,131200,US,100,US,M,Data Manager,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
23,2024,SE,FT,Data Manager,95300,US,100,US,M,Data Manager,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
24,2024,SE,FT,Business Intelligence Lead,144300,US,100,US,M,BI Lead,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
25,2024,SE,FT,Business Intelligence Lead,104800,US,100,US,M,BI Lead,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
26,2024,SE,FT,Machine Learning Engineer,178250,US,100,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
27,2024,SE,FT,Machine Learning Engineer,105500,US,100,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
30,2024,SE,FT,Data Manager,219600,US,0,US,M,Data Manager,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
31,2024,SE,FT,Data Manager,125500,US,0,US,M,Data Manager,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
32,2024,SE,FT,Data Engineer,258500,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
33,2024,SE,FT,Data Engineer,191857,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
34,2024,MI,FT,Data Engineer,51381,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
35,2024,MI,FT,Data Engineer,43675,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
36,2024,SE,FT,AI Engineer,212000,US,0,US,M,AI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
37,2024,SE,FT,AI Engineer,93300,US,0,US,M,AI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
38,2024,MI,FT,Data Engineer,194000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
39,2024,MI,FT,Data Engineer,96000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
40,2024,SE,FT,Data Architect,250000,US,100,US,M,Data Architect,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
41,2024,SE,FT,Data Architect,140000,US,100,US,M,Data Architect,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
42,2024,EN,FT,Data Engineer,60000,LT,0,LT,M,Data Engineer,False,39300,39300,55.169438,23.881275,55.169438,23.881275
43,2024,EN,FT,Data Engineer,50666,LT,0,LT,M,Data Engineer,False,39300,39300,55.169438,23.881275,55.169438,23.881275
44,2024,EN,FT,Data Scientist,175100,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
45,2024,EN,FT,Data Scientist,82915,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
46,2024,EN,FT,Data Scientist,162240,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
47,2024,EN,FT,Data Scientist,47840,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
48,2024,MI,FT,Data Scientist,243800,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
49,2024,MI,FT,Data Scientist,123800,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
50,2024,SE,FT,Data Engineer,237600,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
51,2024,SE,FT,Data Engineer,168600,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
52,2024,MI,FT,Business Intelligence,155000,US,100,US,M,BI,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
53,2024,MI,FT,Business Intelligence,124000,US,100,US,M,BI,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
54,2024,SE,FT,Machine Learning Engineer,242000,CA,0,CA,M,ML Engineer,False,47900,47900,56.130366,-106.346771,56.130366,-106.346771
55,2024,SE,FT,Machine Learning Engineer,215000,CA,0,CA,M,ML Engineer,False,47900,47900,56.130366,-106.346771,56.130366,-106.346771
56,2024,SE,FT,Machine Learning Engineer,229369,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
57,2024,SE,FT,Machine Learning Engineer,146900,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
58,2024,SE,FT,Data Scientist,170000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
59,2024,SE,FT,Data Scientist,152000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
60,2024,SE,FT,Applied Scientist,260000,US,0,US,L,Applied Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
61,2024,SE,FT,Applied Scientist,136000,US,0,US,L,Applied Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
62,2024,EX,FT,Data Scientist,180000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
63,2024,EX,FT,Data Scientist,125000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
64,2024,MI,FT,Data Analyst,147000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
65,2024,MI,FT,Data Analyst,118000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
66,2024,SE,FT,Data Engineer,247500,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
67,2024,SE,FT,Data Engineer,172200,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
68,2024,EN,FT,Data Analyst,101000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
69,2024,EN,FT,Data Analyst,85000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
70,2024,MI,FT,Data Analyst,154000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
71,2024,MI,FT,Data Analyst,105000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
72,2024,SE,FT,Data Operations Specialist,206500,US,0,US,M,DataOps Specialist,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
73,2024,SE,FT,Data Operations Specialist,121500,US,0,US,M,DataOps Specialist,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
74,2024,MI,FT,Data Analyst,72500,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
75,2024,MI,FT,Data Analyst,61000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
76,2024,SE,FT,Research Analyst,100000,GB,0,GB,M,Research Analytics,False,46800,46800,55.378051,-3.435973,55.378051,-3.435973
77,2024,SE,FT,Research Analyst,87500,GB,0,GB,M,Research Analytics,False,46800,46800,55.378051,-3.435973,55.378051,-3.435973
78,2024,SE,FT,Data Science,288400,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
79,2024,SE,FT,Data Science,144200,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
80,2024,MI,FT,ML Engineer,530000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
81,2024,MI,FT,ML Engineer,440000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
82,2024,EN,FT,Machine Learning Engineer,171600,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
83,2024,EN,FT,Machine Learning Engineer,99500,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
84,2024,SE,FT,Data Analyst,175000,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
85,2024,SE,FT,Data Analyst,150000,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
86,2024,SE,FT,Data Engineer,199700,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
87,2024,SE,FT,Data Engineer,165100,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
88,2024,EN,FT,Data Analyst,774000,MX,0,MX,M,Data Analytics,False,19100,19100,23.634501,-102.552784,23.634501,-102.552784
89,2024,EN,FT,Data Analyst,85900,MX,0,MX,M,Data Analytics,False,19100,19100,23.634501,-102.552784,23.634501,-102.552784
90,2024,MI,FT,Applied Scientist,222200,US,0,US,L,Applied Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
91,2024,MI,FT,Applied Scientist,136000,US,0,US,L,Applied Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
92,2024,SE,FT,Data Engineer,313000,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
93,2024,SE,FT,Data Engineer,135000,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
94,2024,SE,FT,Analytics Engineer,153018,US,0,US,M,Analytics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
95,2024,SE,FT,Analytics Engineer,135000,US,0,US,M,Analytics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
96,2024,MI,FT,Analytics Engineer,720000,US,0,US,M,Analytics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
97,2024,MI,FT,Analytics Engineer,170000,US,0,US,M,Analytics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
98,2024,SE,FT,Research Scientist,321000,US,100,US,M,Research Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
99,2024,SE,FT,Research Scientist,214000,US,100,US,M,Research Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
100,2024,SE,FT,Data Engineer,118750,GB,0,GB,M,Data Engineer,False,46800,46800,55.378051,-3.435973,55.378051,-3.435973
101,2024,SE,FT,Data Engineer,63437,GB,0,GB,M,Data Engineer,False,46800,46800,55.378051,-3.435973,55.378051,-3.435973
102,2024,EN,FT,Data Analyst,120000,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
103,2024,EN,FT,Data Analyst,111510,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
104,2024,SE,FT,Data Analyst,141375,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
105,2024,SE,FT,Data Analyst,111500,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
106,2024,MI,FT,AI Programmer,30000,BA,0,BA,S,AI Programmer,False,15700,15700,43.915886,17.679076,43.915886,17.679076
107,2024,MI,FT,Data Analyst,75000,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
108,2024,SE,FT,Machine Learning Scientist,250000,US,100,US,M,ML Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
109,2024,SE,FT,Machine Learning Scientist,125000,US,100,US,M,ML Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
110,2024,EN,FT,Data Analyst,83300,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
111,2024,EN,FT,Data Analyst,47500,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
112,2024,EN,FT,Data Analyst,154818,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
113,2024,EN,FT,Data Analyst,96761,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
114,2024,SE,FT,Data Architect,150000,GB,0,GB,M,Data Architect,False,46800,46800,55.378051,-3.435973,55.378051,-3.435973
115,2024,SE,FT,Data Architect,112500,GB,0,GB,M,Data Architect,False,46800,46800,55.378051,-3.435973,55.378051,-3.435973
116,2024,SE,FT,Machine Learning Engineer,345400,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
117,2024,SE,FT,Machine Learning Engineer,223700,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
118,2024,SE,FT,Data Manager,96600,US,0,US,M,Data Manager,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
119,2024,SE,FT,Data Manager,55200,US,0,US,M,Data Manager,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
120,2024,SE,FT,Data Engineer,128000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
121,2024,SE,FT,Data Engineer,81500,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
122,2024,SE,FT,Data Engineer,218185,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
123,2024,SE,FT,Data Engineer,158680,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
124,2024,SE,FT,Data Analyst,135000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
125,2024,SE,FT,Data Analyst,100000,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
126,2024,MI,FT,Business Intelligence Engineer,185000,US,0,US,L,BI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
127,2024,MI,FT,Business Intelligence Engineer,79600,US,0,US,L,BI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
128,2024,SE,FT,Data Scientist,235700,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
129,2024,SE,FT,Data Scientist,124400,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
132,2024,SE,FT,Machine Learning Engineer,225000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
133,2024,SE,FT,Machine Learning Engineer,150000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
134,2024,MI,FT,Data Engineer,180000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
135,2024,MI,FT,Data Engineer,130000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
136,2024,EX,FT,Data Science,286500,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
137,2024,EX,FT,Data Science,204000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
138,2024,SE,FT,Data Scientist,180000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
139,2024,SE,FT,Data Scientist,139000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
140,2024,MI,FT,Data Developer,100000,US,0,US,M,Data Developer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
141,2024,MI,FT,Data Developer,95000,US,0,US,M,Data Developer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
142,2024,SE,FT,Machine Learning Engineer,60000,BR,100,BR,M,ML Engineer,False,14600,14600,-14.235004,-51.92528,-14.235004,-51.92528
143,2024,SE,FT,Machine Learning Engineer,54000,BR,100,BR,M,ML Engineer,False,14600,14600,-14.235004,-51.92528,-14.235004,-51.92528
144,2024,SE,FT,AI Engineer,385000,US,0,US,M,AI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
145,2024,SE,FT,AI Engineer,310000,US,0,US,M,AI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
146,2024,SE,FT,Machine Learning Engineer,207000,US,100,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
147,2024,SE,FT,Machine Learning Engineer,149800,US,100,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
148,2024,EX,FT,Data Science,300000,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
149,2024,EX,FT,Data Science,220000,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
150,2024,SE,FT,Data Scientist,202800,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
151,2024,SE,FT,Data Scientist,115000,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
152,2024,MI,FT,Data Scientist,140400,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
153,2024,MI,FT,Data Scientist,90000,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
154,2024,SE,FT,Machine Learning Engineer,175000,US,100,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
155,2024,SE,FT,Machine Learning Engineer,150000,US,100,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
156,2024,MI,FT,BI Developer,168000,US,0,US,M,BI Developer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
157,2024,MI,FT,BI Developer,158000,US,0,US,M,BI Developer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
158,2024,SE,FT,Data Architect,165000,US,0,US,M,Data Architect,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
159,2024,SE,FT,Data Architect,123000,US,0,US,M,Data Architect,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
160,2024,SE,FT,Machine Learning Engineer,92000,AR,100,AR,M,ML Engineer,False,21500,21500,-38.416097,-63.616672,-38.416097,-63.616672
161,2024,SE,FT,Machine Learning Engineer,85000,AR,100,AR,M,ML Engineer,False,21500,21500,-38.416097,-63.616672,-38.416097,-63.616672
162,2024,MI,FT,Data Scientist,170200,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
163,2024,MI,FT,Data Scientist,83900,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
166,2024,MI,FT,Data Engineer,130000,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
167,2024,MI,FT,Data Engineer,90000,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
168,2024,SE,FT,AI Engineer,210000,US,0,US,M,AI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
169,2024,SE,FT,AI Engineer,190000,US,0,US,M,AI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
170,2024,EX,FT,ETL Engineer,150000,US,100,US,L,ETL Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
171,2024,SE,FT,Data Architect,200000,US,0,US,M,Data Architect,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
172,2024,SE,FT,Data Architect,115000,US,0,US,M,Data Architect,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
173,2024,SE,FT,Data Scientist,174500,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
174,2024,SE,FT,Data Scientist,126800,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
175,2024,MI,FT,Data Modeler,114000,CA,0,CA,M,Data Modeller,False,47900,47900,56.130366,-106.346771,56.130366,-106.346771
176,2024,MI,FT,Data Modeler,69000,CA,0,CA,M,Data Modeller,False,47900,47900,56.130366,-106.346771,56.130366,-106.346771
177,2024,SE,FT,Machine Learning Scientist,277000,US,0,US,M,ML Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
178,2024,SE,FT,Machine Learning Scientist,173000,US,0,US,M,ML Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
179,2024,MI,FT,Data Engineer,179000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
180,2024,MI,FT,Data Engineer,112000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
181,2024,EN,FT,Data Analyst,130000,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
182,2024,EN,FT,Data Analyst,115000,US,100,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
183,2024,SE,FT,ML Engineer,200070,CA,0,CA,M,ML Engineer,False,47900,47900,56.130366,-106.346771,56.130366,-106.346771
184,2024,SE,FT,ML Engineer,107730,CA,0,CA,M,ML Engineer,False,47900,47900,56.130366,-106.346771,56.130366,-106.346771
185,2024,SE,FT,Data Scientist,81250,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
186,2024,SE,FT,Data Scientist,70000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
187,2024,MI,FT,Machine Learning Engineer,240000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
188,2024,MI,FT,Machine Learning Engineer,130000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
189,2024,SE,FT,Data Engineer,230000,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
190,2024,SE,FT,Data Engineer,165000,US,100,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
191,2024,SE,FT,Machine Learning Engineer,180000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
192,2024,SE,FT,Machine Learning Engineer,125000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
193,2024,MI,FT,Data Scientist,165000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
194,2024,MI,FT,Data Scientist,132000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
195,2024,SE,FT,Robotics Software Engineer,282000,US,0,US,M,Robotics Software Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
196,2024,SE,FT,Robotics Software Engineer,188000,US,0,US,M,Robotics Software Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
197,2024,SE,FT,Analytics Engineer,287500,US,0,US,M,Analytics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
198,2024,SE,FT,Analytics Engineer,156000,US,0,US,M,Analytics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
199,2024,SE,FT,Data Scientist,175000,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
200,2024,SE,FT,Data Scientist,150000,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
201,2024,MI,FT,Data Engineer,125000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
202,2024,MI,FT,Data Engineer,89000,US,0,US,M,Data Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
203,2024,EN,FT,Data Science,198000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
204,2024,EN,FT,Data Science,132000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
205,2024,MI,FT,Data Scientist,158100,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
206,2024,MI,FT,Data Scientist,138500,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
207,2024,MI,FT,Data Scientist,220000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
208,2024,MI,FT,Data Scientist,150000,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
209,2024,MI,FT,Machine Learning Engineer,179700,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
210,2024,MI,FT,Machine Learning Engineer,85700,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
211,2024,MI,FT,Machine Learning Engineer,220000,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
212,2024,MI,FT,Machine Learning Engineer,137500,US,0,US,M,ML Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
